優先順位,店名,評価,口コミ数,サイトURL,検出された弱点,DM下書きステータス,繁盛度スコア,サイト弱さスコア,住所,電話,Googleマップ
1,MAKANA整体サロン 栄,4.9,499,https://makana-g.com/sakae/,（未チェック: この環境から店舗サイトへ接続できず。--recheck で再実行のこと）,,2445.1,,日本、〒460-0003 愛知県名古屋市中区錦３丁目６−５ コインズビル 8F,052-211-7095,https://maps.google.com/?cid=12671737529273050477&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
2,名古屋ハピネス鍼灸接骨院・整体院丸の内,4.9,394,http://nagoyahappiness.com/,（未チェック: この環境から店舗サイトへ接続できず。--recheck で再実行のこと）,,1930.6,,日本、〒460-0002 愛知県名古屋市中区丸の内２丁目１７−２２ MSDビル 1F,052-684-6116,https://maps.google.com/?cid=16045999267729333572&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
3,みのり整体,4.9,298,https://minori-st.jp/,（未チェック: この環境から店舗サイトへ接続できず。--recheck で再実行のこと）,,1460.2,,日本、〒460-0022 愛知県名古屋市中区金山１丁目４−４ 第９ タツミビル 北棟 702号,052-718-9796,https://maps.google.com/?cid=1126676658108405237&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
4,MAKANA整体サロン 金山,5.0,252,https://makana-g.com/kanayama/,（未チェック: この環境から店舗サイトへ接続できず。--recheck で再実行のこと）,,1260.0,,日本、〒460-0022 愛知県名古屋市中区金山４丁目１−１ カーニープレイス名古屋金山ビル 6C,052-265-7229,https://maps.google.com/?cid=15587492119140225663&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
5,上前津すずらん接骨院,4.9,231,https://suzuran-758.com/kamimaezu/,（未チェック: この環境から店舗サイトへ接続できず。--recheck で再実行のこと）,,1131.9,,日本、〒460-0011 愛知県名古屋市中区大須４丁目１１−４４ チサンマンション上前津 1F,052-261-0577,https://maps.google.com/?cid=1433898591502071377&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
6,こころ整骨院 名古屋丸の内駅院,4.8,208,https://seitai.co.jp/store/nagoya-marunouchi/?utm_source=google&utm_medium=gbp&utm_campaign=gbp_nagoya-marunouchi&argument=QyssdmQI&dmai=S0623,（未チェック: この環境から店舗サイトへ接続できず。--recheck で再実行のこと）,,998.4,,日本、〒460-0002 愛知県名古屋市中区丸の内２丁目１４−１９ 安藤ビル 1F,052-684-8306,https://maps.google.com/?cid=13556576888911614200&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
7,ReCORE鍼灸接骨院 中日ビル,4.7,207,https://recore.hitomio.co.jp/chunichi-building/?utm_source=google&utm_medium=maps&utm_campaign=googlemap&utm_term=chunichi-building,（未チェック: この環境から店舗サイトへ接続できず。--recheck で再実行のこと）,,972.9,,日本、〒460-0008 愛知県名古屋市中区栄４丁目１−１ 中日ビル 4階,052-228-7872,https://maps.google.com/?cid=8125646580903257147&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
8,ひさや鍼灸接骨院,4.8,202,https://www.heart-medical.co.jp/shop/hisaya.html?utm_source=google&utm_medium=maps,（未チェック: この環境から店舗サイトへ接続できず。--recheck で再実行のこと）,,969.6,,日本、〒460-0002 愛知県名古屋市中区丸の内３丁目１８−１１,052-253-8010,https://maps.google.com/?cid=10306077907250303024&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
9,NAORU整体 名古屋伏見院,4.9,197,https://www.naorusalon.com/shops/nagoyafushimi/?utm_medium=nagoyafushimi&utm_source=meo,（未チェック: この環境から店舗サイトへ接続できず。--recheck で再実行のこと）,,965.3,,日本、〒460-0003 愛知県名古屋市中区錦１丁目１３−２９ 小玉ビル 201号,050-5536-4585,https://maps.google.com/?cid=8060116165163199267&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
10,ReCORE鍼灸接骨院 伏見,4.8,187,https://recore.hitomio.co.jp/fushimi/?utm_source=google&utm_medium=maps&utm_campaign=googlemap&utm_term=fushimi,（未チェック: この環境から店舗サイトへ接続できず。--recheck で再実行のこと）,,897.6,,日本、〒460-0008 愛知県名古屋市中区栄１丁目５−１ 安田ビル 1F みその,052-201-1939,https://maps.google.com/?cid=1802685186410572488&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
11,しんさかえ鍼灸接骨院,4.8,177,https://www.heart-medical.co.jp/shop/shinsakae.html?utm_source=google&utm_medium=maps,（未チェック: この環境から店舗サイトへ接続できず。--recheck で再実行のこと）,,849.6,,日本、〒460-0007 愛知県名古屋市中区新栄２丁目１１−２１,052-684-4380,https://maps.google.com/?cid=9196298381433170870&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
12,天仁接骨院,4.8,157,http://tenjinsekkotsuin.com/,（未チェック: この環境から店舗サイトへ接続できず。--recheck で再実行のこと）,,753.6,,日本、〒461-0012 愛知県名古屋市東区相生町７９−１,052-937-3771,https://maps.google.com/?cid=15917698457087360421&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
